run_id,crash_time,mean_repair_queue,repairer_utilization
213,18784.55557810686,0.01070417974330812,0.09782501199876814
214,888.9821504515694,0.011068327394836451,0.07693708363629469
215,11608.03490498034,0.010586060273756174,0.09490089890123346
216,1147.6324659779773,0.02090953810800693,0.11936863966963346
217,4707.14348588345,0.008772434304003988,0.09939047725821636
218,36691.513000480394,0.010655912601995679,0.09908717650038179
219,7602.818762527739,0.00959311231766639,0.0992006679003688
220,22206.85425596446,0.009296959205547222,0.09936284555423855
221,3222.9500181538665,0.013247154568081156,0.10802814045816672
222,9173.540103329278,0.011086205561253334,0.10217238248202576
223,22752.491454666026,0.009866624237413007,0.09754854383863745
224,6493.59987591568,0.0110635007694652,0.09732032210879665
225,4484.405792072207,0.011452027809271941,0.0983994794016326
226,6090.280303990437,0.014807492275415418,0.10128995186870271
227,7861.2255239374135,0.008865747983198672,0.08773543631680843
228,23584.214005722195,0.010335941412388852,0.10274440932654272
229,40756.59339033931,0.011403619686727135,0.10149006050084644
230,11411.751254568844,0.009158534810209715,0.09596016696319834
231,44083.328405095264,0.010764229069739664,0.09837316704221624
232,542.1281756183837,0.024800963245535733,0.08532917647624133
233,27.669081999311224,0.17670194281686666,0.28538471574212687
234,3273.9887692739044,0.0070072807137179635,0.09397074032023872
235,10564.913868193567,0.010639207261410658,0.09368668715912581
236,7952.069194207084,0.009567294656095439,0.0974616457095293
237,7902.120861276223,0.010969798204407289,0.09305728730567121
238,12744.444171420146,0.009149670779309088,0.10200202060882319
239,13729.130880466499,0.008998984066260244,0.09978368038291927
240,16880.234141219626,0.011101332473678243,0.09905946478371926
241,5756.998054149891,0.008701985565035174,0.0948553809806124
242,4204.736699067013,0.01450317083226906,0.1047710856265864
243,14779.931964765352,0.010467656222238685,0.09680060064609575
244,4093.7570863678006,0.011979947290621006,0.09448998232310059
245,40294.83255031898,0.011333530116224653,0.10017153120750821
246,15328.237521476798,0.010829115373455303,0.09562023913049059
247,9219.516475094144,0.0117617450080172,0.10406080868764203
248,20681.45805151481,0.010659424677156033,0.10064861666165405
249,171.69993588584083,0.017157939379951862,0.09072226709190508
250,28681.61244464124,0.010024980352089837,0.09904147220620012
251,22868.514143419892,0.01068647685698768,0.09871822426711244
252,12702.755557501036,0.012423730160329103,0.10210672652859101
253,10861.285355238682,0.011076865136086772,0.0994236552796635
254,1606.7331485859322,0.008393059810369207,0.0818288059974168
255,2637.406235998469,0.009284371321340043,0.10712064734211241
256,25354.534825193714,0.0091227140279204,0.0985343219299263
257,17851.114110125916,0.010055668180009119,0.09885201905091986
258,9444.323119313069,0.007100710749885026,0.09589579809845597
259,5419.059761806359,0.00900679449429821,0.09767577690384566
260,114.35101195563124,0.017069414400790323,0.1305983927821331
261,30.204914928094073,0.09973972437427504,0.17562043768772645
262,4987.618933268339,0.014461741447063046,0.10370556804544577
263,9411.395944544292,0.008330243532689867,0.09756530882271572
264,13198.273833826115,0.010371940619077421,0.10489340628367216
265,4961.894116292751,0.007324363939064221,0.08708761690182552
266,5388.772962991946,0.010172788364819578,0.09278806662837216
267,2436.8869412981157,0.01762162274995591,0.1180179973005828
268,22370.48739297926,0.00909112245787602,0.09406495386415098
269,7385.2590654361,0.010726503221871702,0.09649537911793471
270,55414.64279100535,0.00956723752726691,0.09797972814968804
271,1887.0674365716884,0.011535305738777975,0.10011989833410867
272,13693.053881958613,0.009872899906196473,0.09351300997197388
273,1919.6339496455037,0.007495994087443334,0.09471106407139396
274,13376.644850420016,0.009124304381777852,0.09829009902736827
275,4096.980274263049,0.01415839630696836,0.09339634838645428
276,19439.621091212128,0.010159036502807065,0.10091051917008219
277,14522.037432723886,0.012058841294462119,0.09573922555523867
278,903.7008927069953,0.010138081854044233,0.1110059462173193
279,12616.747877953434,0.010439617660477773,0.10381200853692765
280,1827.909549129,0.009073839163688016,0.0889369401245532
281,543.8324633328921,0.016427661381418945,0.10937574204870018
282,3578.060685261053,0.010289939779687849,0.10738316765441532
283,802.0974047574191,0.0035502254271253544,0.0976307178532117
284,24695.498415487953,0.011326433418006635,0.10430616738831314
285,37226.190917131156,0.01108023791829904,0.10199545343539738
286,15878.756975322323,0.009470792845688617,0.0958092273616191
287,19514.33766712162,0.00986521629576024,0.09922758999644637
288,1181.2704237158734,0.005767937777704681,0.08912471398431446
289,8750.303413857178,0.01201492144274824,0.10072860482549009
290,2163.6435821457844,0.014828497331278343,0.08827407891773259
291,14039.935361912003,0.010289401084041224,0.10510718125035659
292,52.526422634019966,0.02000858443901675,0.2011835146505709
293,819.5194945716706,0.014158304059980443,0.10310598542000061
294,444.3238761439649,0.04534071459797812,0.11963618769645477
295,2192.7339341784023,0.01127061131364001,0.10713733779131233
296,15079.308568944602,0.010929058223081354,0.09889105708588543
297,27945.385310394322,0.011633709952264457,0.10361188272177478
298,3247.581687000124,0.01783312512580679,0.11148119650994004
299,27447.349482449084,0.010785133061583211,0.09852826650172976
300,21867.914202827622,0.010646598453993423,0.09975787897009679
